P22,P2002,P3,P2,P1304,P2004,P28,P803,P1303,P27,P1301,P25,P23,P802,P0A,P2001,P801,P1,CAPITAL,CCAA,P14R,P26,P4,P804,P19,TAMUNI,P1302,ESTUDIOS,P2003
1,4,-4,-2,0,6,1,-4,1,1,0,2,81,-2,1,7,-4,-1,1,16,2,2,3,-4,4,5,3,6,3
2,4,-3,-3,3,6,1,-5,1,1,7,3,74,-4,1,6,-2,-2,1,16,1,1,3,-3,6,5,2,2,1
2,4,-3,-3,0,6,1,-3,4,2,0,1,58,-3,1,7,-5,-1,1,16,3,5,3,-5,4,5,5,5,3
1,4,-3,-1,0,6,1,-4,0,1,0,1,57,-1,1,7,-5,-1,1,16,2,4,3,-4,4,5,10,6,2
1,4,-3,-3,0,7,1,-3,2,2,0,1,47,-3,1,8,-5,-2,1,16,12,5,3,-5,2,5,2,6,2
2,3,-3,-2,5,5,1,-5,0,1,8,2,64,-4,1,7,-2,-2,1,16,1,2,3,-3,7,5,2,6,1
1,4,-2,-3,4,5,1,-3,4,1,2,2,68,-3,1,6,-4,-3,1,16,11,2,2,-3,5,5,4,2,3
2,3,-5,-2,1,8,1,-5,1,2,0,4,53,-3,1,8,-5,-2,1,16,11,5,5,-5,4,5,4,4,2
2,5,-5,-1,3,6,1,-2,7,1,3,1,47,-3,1,7,-5,-2,1,16,3,5,4,-4,3,5,4,3,3
1,4,-3,-3,4,5,1,-4,3,1,3,2,72,-2,1,6,-3,-2,1,16,2,2,3,-3,4,5,7,5,3
1,5,-4,-2,2,5,1,-2,8,1,2,4,44,-2,1,7,-4,-2,1,16,3,5,3,-3,3,5,6,6,3
2,5,-3,-4,2,5,1,-3,4,2,2,1,58,-3,1,7,-4,-4,1,16,2,2,3,-4,4,5,5,2,3
2,4,-5,-2,0,6,1,-3,5,1,0,2,72,-2,1,8,-5,-2,1,16,2,5,2,-5,3,5,7,5,2
1,5,-3,-2,5,5,1,-5,1,1,7,1,62,-3,1,6,-2,-2,1,16,1,2,2,-2,6,5,4,5,2
2,6,-5,-3,0,9,1,-4,0,1,0,1,25,-4,1,10,-5,-3,1,16,17,2,4,-5,2,5,0,6,4
2,4,-3,-4,0,8,1,-4,4,1,0,2,68,-3,1,8,-4,-3,1,16,2,2,3,-4,3,5,8,3,2
2,6,-5,-2,0,5,1,-4,0,1,0,1,23,-5,1,10,-5,-3,1,16,17,5,3,-5,2,5,0,5,5
1,6,-4,-1,0,8,1,-3,0,1,0,6,26,-4,1,8,-5,-1,1,16,12,4,4,-5,2,5,0,6,3
2,5,-5,-4,0,8,1,-3,3,1,0,2,55,-4,1,8,-5,-3,1,16,97,1,4,-5,4,5,0,5,2
2,6,-5,-4,0,6,3,-4,0,1,5,3,77,-4,1,8,-4,-4,1,16,97,1,2,-4,6,5,5,3,4
2,4,-3,-4,0,8,1,-4,0,2,0,2,75,-3,1,9,-5,-4,1,16,2,5,3,-4,3,5,8,2,1
2,5,-4,-3,0,8,1,-3,2,1,0,1,52,-4,1,7,-5,-3,1,16,97,2,3,-5,3,5,2,5,2
2,5,-5,-4,0,8,1,-4,4,2,0,1,42,-4,1,8,-4,-3,1,16,97,5,4,-4,4,5,2,5,1
1,3,-3,-2,0,7,1,-3,0,2,0,4,38,-3,2,7,-5,-3,1,16,2,5,3,-5,4,5,8,4,3
1,3,-4,-4,2,5,1,-5,0,1,6,2,81,-4,1,8,-3,-3,1,16,1,1,3,-4,7,5,0,2,3
2,4,-5,-2,0,8,1,-3,5,1,0,1,48,-4,1,8,-5,-1,1,16,3,6,4,-5,3,5,5,6,2
1,5,-3,-4,0,6,3,-4,0,1,0,2,80,-3,1,7,-5,-4,1,16,2,2,3,-4,4,5,10,1,1
1,4,-3,-4,0,6,1,-2,0,2,0,4,59,-3,1,8,-4,-4,3,16,2,2,2,-3,4,3,10,2,3
1,5,-4,-2,0,9,1,-4,8,1,0,1,44,-3,2,10,-4,-2,3,16,2,2,3,-4,5,3,10,5,4
2,5,-5,-3,0,8,1,-3,5,1,0,1,50,-2,1,8,-5,-4,3,16,11,2,4,-5,4,3,5,4,4
1,6,-5,-2,0,8,1,-3,0,2,0,4,49,-3,1,9,-5,-3,3,16,12,5,4,-5,3,3,0,5,3
1,5,-2,-2,0,8,1,-3,0,1,0,1,31,-2,1,8,-4,-3,3,16,2,5,2,-3,4,3,10,5,4
2,4,-5,-2,0,9,1,-4,1,1,0,1,37,-5,1,10,-5,-2,3,16,11,2,3,-5,5,3,0,6,4
1,5,-5,-4,0,8,1,-3,0,1,0,2,68,-5,1,8,-5,-4,3,16,11,2,4,-5,2,3,0,4,5
1,9,-5,-1,0,8,1,-4,0,1,0,1,28,-4,1,10,-5,-3,1,16,97,2,5,-4,2,5,0,4,5
1,5,-3,-3,0,8,1,-3,0,2,0,1,44,-2,1,10,-3,-4,1,16,2,3,3,-3,5,5,10,3,3
2,7,-3,-1,0,9,1,-1,10,1,0,1,33,-2,1,9,-4,-2,1,16,3,5,3,-4,3,5,0,5,3
1,1,-5,-4,0,5,1,-5,0,1,0,1,53,-4,1,10,-5,-4,1,16,2,3,3,-5,2,5,10,3,4
2,4,-4,-2,0,9,1,-3,5,1,0,1,54,-3,1,10,-3,-3,1,16,97,2,4,-3,3,5,5,5,2
2,1,-5,-1,0,8,1,-5,0,2,8,7,72,-5,1,7,-2,-1,1,16,18,1,3,-3,6,5,0,1,1
2,3,-4,-2,0,7,1,-4,0,2,0,1,18,-3,1,9,-4,-2,1,16,2,4,4,-4,4,5,5,4,5
1,6,-5,-2,0,8,1,-3,0,1,0,1,43,-4,1,9,-5,-3,1,16,97,5,3,-3,4,5,0,5,3
2,10,-5,-3,0,7,1,-4,0,1,0,1,31,-4,1,10,-4,-3,3,16,97,2,5,-4,5,2,0,5,7
1,8,-5,-4,0,9,1,-5,0,1,0,4,20,-5,1,10,-5,-4,3,16,12,5,3,-5,1,2,0,5,4
1,10,-5,-1,0,10,1,-3,9,2,0,1,24,-5,1,10,-5,-2,3,16,12,5,5,-5,1,2,0,5,2
1,6,-4,-4,0,7,2,-3,5,1,0,1,51,-3,1,10,-1,-3,3,16,11,2,4,-1,4,1,0,5,4
1,5,-3,-2,0,9,1,-3,0,2,0,2,63,-3,1,10,-4,-3,3,16,97,2,3,-4,6,1,0,4,4
2,3,-3,-1,0,10,1,-3,2,1,0,1,48,-2,1,10,-5,-2,3,16,11,5,2,-4,3,1,8,6,3
1,7,-3,-2,0,9,1,-3,0,2,0,1,45,-4,1,9,-4,-3,3,16,12,5,3,-4,2,1,0,5,6
2,6,-5,-3,0,9,1,-4,0,1,0,4,55,-3,1,9,-4,-3,1,16,2,3,4,-3,5,5,7,4,4
1,4,-3,-1,4,7,1,-5,1,1,4,1,55,-4,1,8,-4,-1,1,16,97,4,2,-5,8,5,2,6,2
2,6,-4,-2,0,9,1,-4,0,1,0,1,28,-4,1,8,-4,-3,1,16,95,5,4,-4,4,5,0,6,3
1,5,-3,-1,0,6,1,-5,0,2,0,1,32,-3,1,7,-4,-2,1,16,11,5,4,-3,6,5,0,5,3
2,1,-4,-4,0,10,1,-4,0,1,0,2,66,-4,1,10,-4,-4,1,16,11,4,4,-4,7,5,0,6,1
1,2,-5,-3,0,6,1,-5,0,1,6,2,72,-5,1,9,-2,-2,1,16,97,1,4,-3,8,5,0,2,1
